species,pu,amount
503,JM-415,25000000
503,JM-416,25000000
503,JM-417,25000000
503,JM-418,25000000
503,JM-419,25000000
503,JN-407,13267191
503,JN-408,25000000
503,JN-409,25000000
503,JN-410,25000000
503,JN-411,25000000
503,JN-412,25000000
503,JN-413,25000000
503,JN-414,25000000
503,JN-415,25000000
503,JN-416,25000000
503,JN-417,25000000
503,JN-418,25000000
503,JN-419,25000000
503,JO-407,24219068
503,JO-408,25000000
503,JO-409,25000000
503,JO-410,25000000
503,JO-411,25000000
503,JO-412,25000000
503,JO-413,25000000
503,JO-414,25000000
503,JO-415,25000000
503,JO-416,25000000
503,JO-417,25000000
503,JO-418,25000000
503,JO-419,25000000
503,JP-407,8984617
503,JP-408,25000000
503,JP-409,25000000
503,JP-410,25000000
503,JP-411,25000000
503,JP-412,25000000
503,JP-413,25000000
503,JP-414,25000000
503,JP-415,25000000
503,JP-416,25000000
503,JP-417,25000000
503,JP-418,25000000
503,JP-419,25000000
503,JQ-407,21422015
503,JQ-408,25000000
503,JQ-409,25000000
503,JQ-410,25000000
503,JQ-411,25000000
503,JQ-412,25000000
503,JQ-413,25000000
503,JQ-414,25000000
503,JQ-415,25000000
503,JQ-416,25000000
503,JQ-417,25000000
503,JQ-418,25000000
503,JQ-419,25000000
503,JR-407,5245149
503,JR-408,25000000
503,JR-409,25000000
503,JR-410,25000000
503,JR-411,25000000
503,JR-412,25000000
503,JR-413,25000000
503,JR-414,25000000
503,JR-415,25000000
503,JR-416,25000000
503,JR-417,25000000
503,JR-418,25000000
503,JR-419,25000000
503,JS-407,18000890
503,JS-408,25000000
503,JS-409,24999999
503,JS-410,25000000
503,JS-411,25000000
503,JS-412,24999999
503,JS-413,25000000
503,JS-414,24999999
503,JS-415,25000000
503,JS-416,25000000
503,JS-417,24999999
503,JS-418,25000000
503,JS-419,24999999
503,JT-407,2129752
503,JT-408,24999999
503,JT-409,25000000
503,JT-410,25000000
503,JT-411,24999999
503,JT-412,25000000
503,JT-413,24999999
503,JT-414,25000000
503,JT-415,25000000
503,JT-416,24999999
503,JT-417,25000000
503,JT-418,24999999
503,JT-419,25000000
503,JU-407,13955693
503,JU-408,25000000
503,JU-409,25000000
503,JU-410,25000000
503,JU-411,25000000
503,JU-412,25000000
503,JU-413,25000000
503,JU-414,25000000
503,JU-415,25000000
503,JU-416,25000000
503,JU-417,25000000
503,JU-418,25000000
503,JU-419,25000000
503,JV-407,2
503,JV-408,20499814
503,JV-409,25000000
503,JV-410,25000000
503,JV-411,25000000
503,JV-412,25000000
503,JV-413,25000000
503,JV-414,25000000
503,JV-415,25000000
503,JV-416,25000000
503,JV-417,25000000
503,JV-418,25000000
503,JV-419,25000000
503,JW-408,18315111
503,JW-409,25000000
503,JW-410,25000000
503,JW-411,25000000
503,JW-412,25000000
503,JW-413,25000000
503,JW-414,25000000
503,JW-415,25000000
503,JW-416,25000000
503,JW-417,25000000
503,JW-418,25000000
503,JW-419,25000000
503,JX-409,16111125
503,JX-410,25000000
503,JX-411,25000000
503,JX-412,25000000
503,JX-413,25000000
503,JX-414,25000000
503,JX-415,25000000
503,JX-416,25000000
503,JX-417,25000000
503,JX-418,25000000
503,JX-419,25000000
503,JY-409,13907139
503,JY-410,25000000
503,JY-411,25000000
503,JY-412,25000000
503,JY-413,25000000
503,JY-414,25000000
503,JY-415,25000000
503,JY-416,25000000
503,JY-417,25000000
503,JY-418,25000000
503,JY-419,24423275
503,JZ-410,11703153
503,JZ-411,25000000
503,JZ-412,25000000
503,JZ-413,25000000
503,JZ-414,25000000
503,JZ-415,24607939
503,JZ-416,20879187
503,JZ-417,15424347
503,JZ-418,9755091
503,JZ-419,4276109
503,KA-410,9499167
503,KA-411,21314085
503,KA-412,15936001
503,KA-413,10266745
503,KA-414,4726838
503,KA-415,649901
503,KB-411,609291
503,IM-432,3864461
503,IN-431,812530
503,IN-432,16217737
503,IO-430,11617318
503,IO-431,25000000
503,IO-432,25000000
503,IP-429,7199348
503,IP-430,23122339
503,IP-431,25000000
503,IP-432,25000000
503,IQ-427,3499803
503,IQ-428,19796735
503,IQ-429,25000000
503,IQ-430,25000000
503,IQ-431,25000000
503,IQ-432,25000000
503,IR-426,1946035
503,IR-427,15905961
503,IR-428,25000000
503,IR-429,25000000
503,IR-430,25000000
503,IR-431,25000000
503,IR-432,25000000
503,IS-424,3149429
503,IS-425,16661822
503,IS-426,25000000
503,IS-427,25000000
503,IS-428,25000000
503,IS-429,25000000
503,IS-430,25000000
503,IS-431,25000000
503,IS-432,25000000
503,IT-423,4460880
503,IT-424,18251713
503,IT-425,25000000
503,IT-426,25000000
503,IT-427,25000000
503,IT-428,25000000
503,IT-429,25000000
503,IT-430,25000000
503,IT-431,25000000
503,IT-432,25000000
503,IU-421,5880389
503,IU-422,19733548
503,IU-423,25000000
503,IU-424,25000000
503,IU-425,25000000
503,IU-426,25000000
503,IU-427,25000000
503,IU-428,25000000
503,IU-429,25000000
503,IU-430,25000000
503,IU-431,25000000
503,IU-432,25000000
503,IV-420,7407954
503,IV-421,21107325
503,IV-422,25000000
503,IV-423,25000000
503,IV-424,25000000
503,IV-425,25000000
503,IV-426,25000000
503,IV-427,25000000
503,IV-428,25000000
503,IV-429,25000000
503,IV-430,25000000
503,IV-431,25000000
503,IV-432,25000000
503,IW-420,25000000
503,IW-421,24999999
503,IW-422,25000000
503,IW-423,25000000
503,IW-424,24999999
503,IW-425,25000000
503,IW-426,24999999
503,IW-427,25000000
503,IW-428,25000000
503,IW-429,24999999
503,IW-430,25000000
503,IW-431,24999999
503,IW-432,25000000
503,IX-420,25000000
503,IX-421,25000000
503,IX-422,25000000
503,IX-423,25000000
503,IX-424,25000000
503,IX-425,25000000
503,IX-426,25000000
503,IX-427,25000000
503,IX-428,25000000
503,IX-429,25000000
503,IX-430,25000000
503,IX-431,25000000
503,IX-432,25000000
503,IY-420,25000000
503,IY-421,25000000
503,IY-422,25000000
503,IY-423,25000000
503,IY-424,25000000
503,IY-425,25000000
503,IY-426,25000000
503,IY-427,25000000
503,IY-428,25000000
503,IY-429,25000000
503,IY-430,25000000
503,IY-431,25000000
503,IY-432,25000000
503,IZ-420,25000000
503,IZ-421,25000000
503,IZ-422,25000000
503,IZ-423,25000000
503,IZ-424,25000000
503,IZ-425,25000000
503,IZ-426,25000000
503,IZ-427,25000000
503,IZ-428,25000000
503,IZ-429,25000000
503,IZ-430,25000000
503,IZ-431,25000000
503,IZ-432,25000000
503,JA-420,25000000
503,JA-421,25000000
503,JA-422,25000000
503,JA-423,25000000
503,JA-424,25000000
503,JA-425,25000000
503,JA-426,25000000
503,JA-427,25000000
503,JA-428,25000000
503,JA-429,25000000
503,JA-430,25000000
503,JA-431,25000000
503,JA-432,25000000
503,JB-420,25000000
503,JB-421,25000000
503,JB-422,25000000
503,JB-423,25000000
503,JB-424,25000000
503,JB-425,25000000
503,JB-426,25000000
408,JB-427,3092887
503,JB-427,25000000
503,JB-428,25000000
503,JB-429,25000000
503,JB-430,25000000
503,JB-431,25000000
503,JB-432,25000000
503,JC-420,25000000
503,JC-421,25000000
503,JC-422,25000000
503,JC-423,25000000
503,JC-424,25000000
503,JC-425,25000000
408,JC-426,7964185
503,JC-426,25000000
408,JC-427,7355355
503,JC-427,25000000
503,JC-428,25000000
503,JC-429,25000000
503,JC-430,25000000
503,JC-431,25000000
503,JC-432,25000000
503,JD-420,25000000
503,JD-421,25000000
503,JD-422,25000000
503,JD-423,25000000
503,JD-424,25000000
503,JD-425,25000000
503,JD-426,25000000
408,JD-427,466178
503,JD-427,25000000
503,JD-428,25000000
503,JD-429,25000000
503,JD-430,25000000
503,JD-431,25000000
503,JD-432,25000000
503,JE-420,25000000
503,JE-421,25000000
503,JE-422,25000000
503,JE-423,25000000
503,JE-424,25000000
503,JE-425,25000000
503,JE-426,25000000
503,JE-427,25000000
503,JE-428,25000000
503,JE-429,25000000
503,JE-430,25000000
503,JE-431,25000000
503,JE-432,25000000
503,JF-420,25000000
503,JF-421,25000000
503,JF-422,25000000
503,JF-423,25000000
503,JF-424,25000000
503,JF-425,25000000
503,JF-426,25000000
503,JF-427,25000000
503,JF-428,25000000
503,JF-429,25000000
503,JF-430,25000000
503,JF-431,25000000
503,JF-432,25000000
503,JG-420,25000000
503,JG-421,25000000
503,JG-422,25000000
503,JG-423,25000000
503,JG-424,25000000
503,JG-425,25000000
503,JG-426,25000000
503,JG-427,25000000
503,JG-428,25000000
503,JG-429,25000000
503,JG-430,25000000
503,JG-431,25000000
503,JG-432,25000000
503,JH-420,25000000
503,JH-421,25000000
503,JH-422,25000000
503,JH-423,25000000
503,JH-424,25000000
503,JH-425,25000000
503,JH-426,25000000
503,JH-427,25000000
503,JH-428,25000000
503,JH-429,25000000
503,JH-430,25000000
503,JH-431,25000000
503,JH-432,25000000
503,JI-420,25000000
503,JI-421,25000000
503,JI-422,25000000
503,JI-423,25000000
503,JI-424,25000000
503,JI-425,25000000
503,JI-426,25000000
503,JI-427,25000000
503,JI-428,25000000
503,JI-429,25000000
503,JI-430,25000000
503,JI-431,25000000
503,JI-432,25000000
503,JJ-420,25000000
503,JJ-421,25000000
503,JJ-422,25000000
