species,pu,amount
503,IN-381,8558281
500,IN-381,19671818
503,IN-382,15491407
500,IN-382,10397044
503,IN-383,21882559
500,IN-384,7424081
503,IN-384,25000000
503,IN-385,25000000
500,IN-385,25000000
500,IN-386,25000000
503,IN-386,25000000
503,IN-387,11753040
500,IN-387,25000000
500,IN-388,25000000
500,IN-389,25000000
500,IN-390,25000000
500,IN-391,25000000
500,IN-392,3657023
500,IN-408,1654347
500,IN-409,24454085
500,IN-410,25000000
500,IN-411,25000000
500,IN-412,25000000
500,IN-413,25000000
500,IN-414,25000000
500,IN-415,24992825
500,IN-416,3130396
500,IN-418,3918579
500,IN-419,10141318
500,IN-420,6548706
500,IN-421,10543987
500,IN-422,9732062
500,IN-423,14439891
500,IN-424,21171600
500,IN-425,19500680
500,IN-426,18188331
500,IN-427,8133911
500,IN-428,21905098
500,IN-429,25000000
500,IN-430,25000000
503,IN-431,812530
500,IN-431,25000000
503,IN-432,16217737
500,IN-432,25000000
500,IO-318,18876629
500,IO-319,25000000
500,IO-320,25000000
500,IO-321,25000000
500,IO-322,25000000
503,IO-322,8546
500,IO-323,25000000
503,IO-323,384534
500,IO-324,25000000
503,IO-324,1317378
500,IO-325,25000000
503,IO-325,2807077
500,IO-326,25000000
503,IO-326,4759406
500,IO-327,25000000
503,IO-327,6889640
503,IO-328,9026043
500,IO-328,25000000
500,IO-329,25000000
503,IO-329,8706396
500,IO-330,25000000
500,IO-331,25000000
500,IO-332,25000000
500,IO-333,25000000
500,IO-334,25000000
500,IO-335,25000000
500,IO-336,25000000
500,IO-337,25000000
500,IO-338,25000000
500,IO-339,25000000
500,IO-340,25000000
500,IO-341,25000000
500,IO-342,25000000
500,IO-343,25000000
500,IO-344,23225546
500,IO-347,7547954
500,IO-348,25000000
500,IO-349,25000000
500,IO-350,25000000
500,IO-351,25000000
500,IO-352,25000000
500,IO-353,25000000
500,IO-354,25000000
500,IO-355,25000000
500,IO-356,25000000
500,IO-357,25000000
500,IO-358,25000000
500,IO-359,25000000
500,IO-360,25000000
500,IO-361,25000000
500,IO-362,25000000
500,IO-363,10739541
503,IO-377,5461677
503,IO-378,16225466
503,IO-379,22447882
503,IO-380,25000000
503,IO-381,25000000
503,IO-382,25000000
500,IO-383,4504311
503,IO-383,25000000
503,IO-384,25000000
500,IO-384,25000000
503,IO-385,25000000
500,IO-385,25000000
500,IO-386,25000000
503,IO-386,25000000
500,IO-387,25000000
503,IO-387,23012516
500,IO-388,25000000
503,IO-388,6807342
500,IO-389,25000000
500,IO-390,25000000
500,IO-391,5511879
500,IO-407,1571895
500,IO-408,24405062
500,IO-409,25000000
500,IO-410,25000000
500,IO-411,25000000
500,IO-412,25000000
500,IO-413,24820317
500,IO-414,15047809
500,IO-415,1593162
500,IO-417,10330827
500,IO-418,23410390
500,IO-419,10567869
500,IO-420,8527596
500,IO-421,9930308
500,IO-422,25000000
500,IO-423,25000000
500,IO-424,23386688
500,IO-425,17271227
500,IO-426,20020847
500,IO-427,20982243
500,IO-428,25000000
500,IO-429,25000000
503,IO-430,11617318
500,IO-430,25000000
503,IO-431,25000000
500,IO-431,25000000
503,IO-432,25000000
500,IO-432,25000000
500,IP-310,4981706
500,IP-318,9803279
503,IP-319,4377135
500,IP-319,25000000
500,IP-320,25000000
503,IP-320,12898825
500,IP-321,25000000
503,IP-321,18003023
500,IP-322,25000000
503,IP-322,20135700
503,IP-323,22103386
500,IP-323,25000000
500,IP-324,25000000
503,IP-324,23621063
503,IP-325,24581884
500,IP-325,25000000
503,IP-326,24985850
500,IP-326,25000000
500,IP-327,25000000
503,IP-327,25000000
503,IP-328,25000000
500,IP-328,25000000
500,IP-329,25000000
503,IP-329,25000000
500,IP-330,25000000
503,IP-330,19482538
503,IP-331,144959
500,IP-331,25000000
500,IP-332,25000000
500,IP-333,25000000
500,IP-334,25000000
500,IP-335,25000000
500,IP-336,25000000
500,IP-337,25000000
500,IP-338,25000000
500,IP-339,25000000
500,IP-340,25000000
500,IP-341,25000000
500,IP-342,25000000
500,IP-343,25000000
500,IP-344,25000000
500,IP-345,10265356
500,IP-347,8472947
500,IP-348,25000000
500,IP-349,25000000
500,IP-350,25000000
500,IP-351,25000000
500,IP-352,25000000
500,IP-353,25000000
500,IP-354,25000000
500,IP-355,25000000
500,IP-356,25000000
500,IP-357,25000000
500,IP-358,25000000
500,IP-359,25000000
500,IP-360,25000000
500,IP-361,25000000
500,IP-362,25000000
500,IP-363,25000000
500,IP-364,853949
503,IP-378,17117672
503,IP-379,25000000
503,IP-380,25000000
503,IP-381,25000000
503,IP-382,25000000
503,IP-383,25000000
500,IP-384,21309060
503,IP-384,25000000
503,IP-385,25000000
500,IP-385,25000000
503,IP-386,25000000
500,IP-386,25000000
503,IP-387,25000000
500,IP-387,25000000
500,IP-388,25000000
503,IP-388,25000000
503,IP-389,19180360
500,IP-389,25000000
503,IP-390,2767856
500,IP-390,16856949
500,IP-391,1840302
500,IP-408,23691111
500,IP-409,25000000
500,IP-410,25000000
500,IP-411,25000000
500,IP-412,25000000
500,IP-413,13508192
500,IP-414,122185
500,IP-417,3723468
500,IP-418,25000000
504,IP-419,7363
500,IP-419,15216693
500,IP-420,597014
500,IP-421,13959467
500,IP-422,24221083
500,IP-423,25000000
500,IP-424,25000000
500,IP-425,24317766
500,IP-426,18243967
500,IP-427,25000000
500,IP-428,25000000
503,IP-429,7199348
500,IP-429,25000000
503,IP-430,23122339
500,IP-430,25000000
503,IP-431,25000000
500,IP-431,25000000
500,IP-432,25000000
503,IP-432,25000000
500,IQ-309,8182535
500,IQ-310,5260790
503,IQ-315,249495
503,IQ-316,6609972
503,IQ-317,15490957
500,IQ-317,2889918
503,IQ-318,23177044
500,IQ-318,25000000
503,IQ-319,25000000
500,IQ-319,25000000
500,IQ-320,25000000
503,IQ-320,25000000
503,IQ-321,25000000
500,IQ-321,25000000
500,IQ-322,25000000
503,IQ-322,25000000
500,IQ-323,25000000
503,IQ-323,25000000
500,IQ-324,25000000
503,IQ-324,25000000
503,IQ-325,25000000
500,IQ-325,25000000
503,IQ-326,25000000
500,IQ-326,25000000
500,IQ-327,25000000
503,IQ-327,25000000
500,IQ-328,25000000
503,IQ-328,25000000
503,IQ-329,25000000
500,IQ-329,25000000
503,IQ-330,23866931
500,IQ-330,25000000
503,IQ-331,3214634
500,IQ-331,25000000
500,IQ-332,25000000
500,IQ-333,25000000
500,IQ-334,25000000
500,IQ-335,25000000
500,IQ-336,25000000
500,IQ-337,25000000
500,IQ-338,25000000
500,IQ-339,25000000
500,IQ-340,25000000
500,IQ-341,25000000
500,IQ-342,25000000
500,IQ-343,25000000
500,IQ-344,21449619
500,IQ-346,3619384
500,IQ-347,25000000
500,IQ-348,25000000
500,IQ-349,25000000
500,IQ-350,25000000
500,IQ-351,25000000
500,IQ-352,25000000
500,IQ-353,25000000
500,IQ-354,25000000
500,IQ-355,25000000
500,IQ-356,25000000
500,IQ-357,25000000
500,IQ-358,25000000
500,IQ-359,25000000
500,IQ-360,25000000
500,IQ-361,25000000
500,IQ-362,25000000
500,IQ-363,12940934
500,IQ-378,7819839
503,IQ-378,20185145
503,IQ-379,25000000
500,IQ-379,11072960
503,IQ-380,25000000
500,IQ-380,9367652
500,IQ-381,7694190
503,IQ-381,25000000
503,IQ-382,25000000
500,IQ-382,4045225
503,IQ-383,25000000
500,IQ-383,13907988
500,IQ-384,25000000
503,IQ-384,25000000
503,IQ-385,25000000
500,IQ-385,25000000
503,IQ-386,25000000
500,IQ-386,25000000
500,IQ-387,25000000
503,IQ-387,25000000
500,IQ-388,25000000
503,IQ-388,25000000
500,IQ-389,14978171
503,IQ-389,25000000
503,IQ-390,14425154
503,IQ-391,4970
500,IQ-407,7479901
500,IQ-408,25000000
500,IQ-409,25000000
500,IQ-410,25000000
500,IQ-411,20155154
500,IQ-412,2052632
500,IQ-417,19425257
500,IQ-418,25000000
500,IQ-419,8785091
504,IQ-419,7363
500,IQ-420,19472014
500,IQ-421,25000000
500,IQ-422,25000000
500,IQ-423,25000000
500,IQ-424,25000000
500,IQ-425,24982584
500,IQ-426,25000000
503,IQ-427,3499803
500,IQ-427,25000000
503,IQ-428,19796735
500,IQ-428,25000000
500,IQ-429,25000000
503,IQ-429,25000000
503,IQ-430,25000000
500,IQ-430,25000000
500,IQ-431,25000000
503,IQ-431,25000000
503,IQ-432,25000000
500,IQ-432,25000000
500,IR-310,2159755
503,IR-313,1445732
503,IR-314,9097835
503,IR-315,18009686
503,IR-316,24616837
503,IR-317,25000000
503,IR-318,25000000
500,IR-318,22639062
503,IR-319,25000000
500,IR-319,25000000
500,IR-320,25000000
503,IR-320,25000000
503,IR-321,25000000
500,IR-321,25000000
503,IR-322,25000000
500,IR-322,25000000
500,IR-323,25000000
503,IR-323,25000000
500,IR-324,25000000
503,IR-324,25000000
503,IR-325,25000000
500,IR-325,25000000
500,IR-326,25000000
503,IR-326,25000000
503,IR-327,25000000
500,IR-327,25000000
500,IR-328,25000000
503,IR-328,25000000
500,IR-329,25000000
503,IR-329,25000000
500,IR-330,25000000
503,IR-330,25000000
503,IR-331,25000000
500,IR-331,25000000
503,IR-332,8373225
500,IR-332,25000000
500,IR-333,25000000
500,IR-334,25000000
500,IR-335,25000000
500,IR-336,25000000
500,IR-337,25000000
500,IR-338,25000000
500,IR-339,25000000
500,IR-340,25000000
500,IR-341,25000000
500,IR-342,25000000
500,IR-343,25000000
500,IR-344,25000000
500,IR-345,3748791
500,IR-347,23344990
500,IR-348,25000000
500,IR-349,25000000
500,IR-350,25000000
500,IR-351,25000000
500,IR-352,25000000
500,IR-353,25000000
500,IR-354,25000000
500,IR-355,25000000
500,IR-356,25000000
500,IR-357,25000000
500,IR-358,25000000
500,IR-359,25000000
500,IR-360,25000000
500,IR-361,25000000
500,IR-362,25000000
500,IR-363,23904124
503,IR-378,93533
500,IR-378,93361
503,IR-379,23325078
500,IR-379,23324861
503,IR-380,25000000
500,IR-380,25000000
503,IR-381,25000000
500,IR-381,25000000
503,IR-382,25000000
500,IR-382,25000000
503,IR-383,25000000
500,IR-383,24759547
500,IR-384,25000000
503,IR-384,25000000
503,IR-385,25000000
500,IR-385,25000000
500,IR-386,25000000
503,IR-386,25000000
503,IR-387,25000000
500,IR-387,25000000
500,IR-388,25000000
503,IR-388,25000000
500,IR-389,25000000
503,IR-389,25000000
500,IR-390,2330025
503,IR-390,25000000
503,IR-391,24604991
503,IR-392,9219373
500,IR-396,543203
