species,pu,amount
500,IV-386,25000000
500,IT-386,25000000
500,IW-385,24999999
500,IS-385,25000000
500,IU-385,25000000
500,IV-385,25000000
500,IR-385,25000000
500,IT-385,25000000
500,IS-384,25000000
500,IM-385,25000000
500,IK-385,25000000
500,IQ-385,25000000
500,IN-385,25000000
500,IP-385,25000000
500,IL-385,25000000
500,IO-384,25000000
500,IM-384,23066707
500,IK-384,25000000
500,IQ-384,25000000
500,IY-384,25000000
500,JA-384,25000000
500,JB-384,25000000
500,IZ-384,25000000
500,IX-384,25000000
500,IY-383,25000000
500,JA-383,25000000
500,JC-383,25000000
500,JB-383,25000000
500,IZ-383,25000000
500,IW-384,25000000
500,IU-384,25000000
500,IT-384,25000000
500,IR-384,25000000
500,IV-384,25000000
500,IS-383,25000000
500,IW-383,25000000
500,IU-383,25000000
500,IR-383,24759547
500,IT-383,25000000
500,IL-384,25000000
500,IP-384,21309060
500,IN-384,7424081
500,IO-383,4504311
500,IQ-383,13907988
500,IK-383,25000000
500,IM-383,4895223
500,IL-383,25000000
500,IV-383,25000000
500,IS-382,25000000
500,IW-382,24999999
500,IU-382,25000000
500,IV-382,25000000
500,IT-382,25000000
500,IR-382,25000000
500,IS-381,25000000
500,IW-381,25000000
500,IU-381,25000000
500,IX-383,25000000
500,JC-382,25000000
500,JA-382,25000000
500,IY-382,25000000
500,IZ-382,25000000
500,IX-382,25000000
500,JB-382,25000000
500,JC-381,22322950
500,IY-381,25000000
500,JA-381,25000000
500,IK-382,25000000
500,IQ-382,4045225
500,IM-382,17644495
500,IL-382,25000000
500,IN-382,10397044
500,IQ-381,7694190
500,IK-381,25000000
500,IM-381,25000000
500,IL-381,25000000
500,IN-381,19671818
500,IK-380,25000000
500,IQ-380,9367652
500,IM-380,25000000
500,IL-380,25000000
500,JB-381,25000000
500,IZ-381,23658917
500,IX-381,25000000
500,JA-380,16633373
500,JC-380,2454871
500,IY-380,6905218
500,JB-380,4843586
500,IX-380,3226493
500,IZ-380,70
500,IT-381,25000000
500,IV-381,25000000
500,IR-381,25000000
500,IW-380,24715654
500,IU-380,25000000
500,IS-380,25000000
500,IT-380,25000000
500,IR-380,25000000
500,IV-380,23845708
500,IU-379,19258751
500,IN-380,12627712
500,IK-379,22069233
500,IM-379,20888098
500,IL-379,12978301
500,JF-384,25000000
500,JD-384,25000000
500,JH-384,13153429
500,JG-383,24572505
500,JE-383,25000000
500,JF-383,20255055
500,JH-383,958738
500,JP-384,7656346
500,JN-384,22212219
500,JM-383,86032
500,JO-383,16172064
500,JN-383,14489285
500,JD-383,25000000
500,JE-382,14186089
500,JG-382,518017
500,JD-382,15764461
500,JM-382,6601
500,IS-379,25000000
500,IW-379,1575454
500,IQ-379,11072960
500,IT-379,11110718
500,IR-379,23324861
500,IV-379,434763
500,IS-378,3420305
500,IQ-378,7819839
500,IR-378,93361
503,JD-397,10219413
503,JB-397,82931
503,IW-395,1489808
503,JC-396,18178017
503,JA-396,4529226
503,IZ-396,11633920
503,JB-396,24037259
503,JC-395,25000000
503,IY-395,18087811
503,JA-395,25000000
503,JB-395,25000000
503,IV-395,5603295
503,IW-394,24922467
503,IU-394,10564358
503,IT-394,13990103
503,IV-394,25000000
503,JQ-397,14108862
503,JS-397,19017
503,JR-397,19035048
503,JP-398,2423398
503,JN-398,309556
503,JK-397,7952049
503,JM-397,11298775
503,JO-397,14829240
503,JL-397,23305528
503,JP-397,25000000
503,JN-397,24999934
503,JQ-396,25000000
503,JG-397,2481265
503,JE-397,357208
503,JI-397,5012879
503,JH-397,18118920
503,JJ-397,20916002
503,JF-397,14914281
503,JI-396,25000000
503,JT-397,1763193
503,JU-396,5716456
503,JS-396,23058696
503,JV-396,10365432
503,JT-396,24958645
503,JR-396,25000000
503,JW-395,15029300
503,JS-395,24999999
503,JU-395,25000000
503,JK-396,25000000
503,JM-396,25000000
503,JO-396,25000000
503,JL-396,25000000
503,JN-396,25000000
503,JP-396,25000000
503,JK-395,25000000
503,JM-395,25000000
503,JQ-395,25000000
503,JO-395,25000000
503,JG-396,25000000
503,JE-396,25000000
503,JD-396,25000000
503,JF-396,25000000
503,JH-396,25000000
503,JJ-396,25000000
503,JG-395,25000000
503,JI-395,25000000
503,JE-395,25000000
503,JD-395,25000000
503,JP-395,25000000
503,JN-395,25000000
503,JL-395,25000000
503,JK-394,25000000
503,JM-394,25000000
503,JQ-394,25000000
503,JO-394,25000000
503,JP-394,25000000
503,JN-394,25000000
503,JL-394,25000000
503,JY-395,92459
503,JZ-395,2232094
503,JX-395,19659875
503,JY-394,23494128
503,KA-394,6346878
503,JX-394,25000000
503,KB-394,1874149
503,JZ-394,24998617
503,JY-393,25000000
503,IZ-395,25000000
503,IX-395,22571830
503,JC-394,25000000
503,IY-394,25000000
503,JA-394,25000000
503,IX-394,25000000
503,JD-394,25000000
503,IZ-394,25000000
503,JB-394,25000000
503,JC-393,25000000
503,IS-393,4709787
503,IW-393,25000000
503,IU-393,25000000
503,IV-393,25000000
503,IT-393,25000000
503,IS-392,21247383
503,IU-392,25000000
503,IY-393,25000000
503,JA-393,25000000
503,JB-393,25000000
503,IX-393,25000000
503,IZ-393,25000000
503,JD-393,25000000
503,IY-392,25000000
503,JC-392,25000000
503,JA-392,25000000
503,IX-392,25000000
503,IW-392,24999999
503,IT-392,25000000
503,IR-392,9219373
503,IV-392,25000000
503,IW-391,25000000
503,IQ-391,4970
503,IU-391,25000000
503,IS-391,25000000
503,IT-391,25000000
503,IV-391,25000000
503,IZ-392,25000000
503,JB-392,25000000
503,IY-391,25000000
503,JA-391,25000000
503,JC-391,25000000
503,IX-391,25000000
503,JD-391,25000000
503,IZ-391,25000000
503,JB-391,25000000
503,IY-390,25000000
503,IQ-390,14425154
503,IR-391,24604991
503,IW-390,24999999
503,IU-390,25000000
503,IS-390,25000000
503,IV-390,25000000
503,IR-390,25000000
503,IT-390,25000000
503,IW-389,25000000
503,IU-389,25000000
503,IS-389,25000000
503,JC-390,25000000
503,JA-390,25000000
503,JD-390,25000000
503,IX-390,25000000
503,JB-390,25000000
503,IZ-390,25000000
503,JC-389,25000000
503,IY-389,25000000
503,JA-389,25000000
503,IX-389,25000000
503,JJ-395,25000000
503,JF-395,25000000
503,JH-395,25000000
503,JG-394,25000000
503,JI-394,25000000
503,JE-394,25000000
503,JJ-394,25000000
503,JF-394,25000000
503,JH-394,25000000
503,JG-393,25000000
503,JR-395,25000000
503,JT-395,25000000
503,JV-395,25000000
503,JU-394,25000000
503,JS-394,25000000
503,JW-394,25000000
503,JT-394,24999999
503,JR-394,25000000
503,JV-394,25000000
503,JU-393,25000000
503,JS-393,25000000
503,JQ-393,25000000
503,JW-393,25000000
503,JV-393,25000000
503,JR-393,25000000
503,JT-393,25000000
503,JQ-392,25000000
503,JW-392,25000000
503,JU-392,25000000
503,JS-392,24999999
503,JI-393,25000000
503,JE-393,25000000
503,JF-393,25000000
503,JH-393,25000000
503,JJ-393,25000000
503,JE-392,25000000
503,JG-392,25000000
503,JI-392,25000000
503,JD-392,25000000
503,JJ-392,25000000
503,JK-393,25000000
503,JM-393,25000000
503,JO-393,25000000
503,JL-393,25000000
503,JN-393,25000000
503,JP-393,25000000
503,JK-392,25000000
503,JO-392,25000000
503,JM-392,25000000
503,JL-392,25000000
503,JT-392,25000000
503,JV-392,25000000
503,JR-392,25000000
503,JS-391,25000000
503,JU-391,25000000
503,JW-391,22973340
503,JT-391,24999999
503,JR-391,25000000
503,JV-391,23364267
503,JQ-390,25000000
503,JP-392,25000000
503,JN-392,25000000
503,JK-391,25000000
503,JO-391,25000000
503,JQ-391,25000000
503,JM-391,25000000
503,JP-391,25000000
503,JL-391,25000000
503,JN-391,25000000
503,JK-390,25000000
503,JH-392,25000000
503,JF-392,25000000
503,JI-391,25000000
503,JG-391,25000000
503,JE-391,25000000
503,JJ-391,25000000
503,JF-391,25000000
503,JH-391,25000000
503,JI-390,25000000
503,JE-390,25000000
503,JW-390,396907
503,JU-390,25000000
503,JS-390,24999999
503,JR-390,25000000
503,JT-390,25000000
503,JV-390,22909744
503,JQ-389,25000000
503,JS-389,25000000
503,JW-389,315292
503,JU-389,25000000
503,JG-390,25000000
503,JF-390,25000000
503,JJ-390,25000000
503,JH-390,25000000
503,JE-389,25000000
503,JG-389,25000000
503,JI-389,25000000
503,JJ-389,25000000
503,JD-389,25000000
503,JF-389,25000000
503,KA-393,25000000
503,KB-393,14424569
503,JX-393,25000000
503,JZ-393,25000000
503,KC-392,307999
503,JY-392,25000000
503,KA-392,25000000
503,KB-392,25000000
503,JZ-392,25000000
503,JX-392,25000000
503,JY-391,25000000
503,KA-391,25000000
503,KC-391,11722436
503,KB-391,19558491
503,JZ-391,16847676
