species,pu,amount
215,KW-369,25000000
215,KW-370,10408773
215,KW-371,1547173
215,KW-372,160176
215,KX-368,25000000
215,KX-369,25000000
215,KX-370,25000000
215,KX-371,23523189
215,KX-372,22319920
215,KX-373,3482260
215,KY-368,25000000
215,KY-369,25000000
215,KY-370,25000000
215,KY-371,23528515
215,KY-372,278552
215,KZ-368,17828372
215,KZ-369,17604766
215,KZ-370,24477308
215,KZ-371,25000000
215,KZ-372,14448083
215,KZ-377,148392
215,LA-369,171855
215,LA-370,7936824
215,LA-371,9721907
215,LA-372,10351328
215,LA-373,9664146
215,LA-374,1643842
215,LA-377,14979943
215,LA-378,2962130
215,LB-368,4047341
215,LB-373,15870
215,LB-374,10304385
215,LB-375,9575605
215,LB-376,5164
215,LB-377,14397569
215,LB-378,24542563
215,LB-379,3159484
215,LC-368,12386305
215,LC-369,3036849
215,LC-374,16372472
215,LC-375,22774696
215,LC-376,23056105
215,LC-377,25000000
215,LC-378,24413235
215,LC-379,4104015
215,LD-368,24836234
215,LD-369,17140052
215,LD-370,10679972
215,LD-371,909312
215,LD-374,216331
215,LD-375,18312247
215,LD-376,24924090
215,LD-377,25000000
215,LD-378,25000000
215,LD-379,25000000
215,LD-380,17789091
215,LE-368,25000000
215,LE-369,24785365
215,LE-370,22199247
215,LE-371,6132710
215,LE-375,162295
215,LE-376,17040952
215,LE-377,25000000
215,LE-378,25000000
215,LE-379,25000000
215,LE-380,25000000
215,LF-368,25000000
215,LF-369,25000000
215,LF-370,25000000
215,LF-371,17560749
215,LF-372,22257739
215,LF-373,12187463
215,LF-374,785399
215,LF-376,388095
215,LF-377,18029115
215,LF-378,25000000
215,LF-379,25000000
215,LF-380,25000000
215,LG-368,25000000
215,LG-369,25000000
215,LG-370,25000000
215,LG-371,25000000
215,LG-372,25000000
215,LG-373,22958972
215,LG-374,12609055
215,LG-375,13463568
215,LG-376,20366267
215,LG-377,23860898
215,LG-378,23798530
215,LG-379,13783344
215,LG-380,4839257
215,LH-368,24886218
215,LH-369,25000000
215,LH-370,25000000
215,LH-371,25000000
215,LH-372,25000000
215,LH-373,25000000
215,LH-374,24969127
215,LH-375,24616398
215,LH-376,25000000
215,LH-377,25000000
215,LH-378,9461507
215,LH-379,183406
215,LI-368,21352981
215,LI-369,25000000
215,LI-370,25000000
215,LI-371,25000000
215,LI-372,25000000
215,LI-373,25000000
215,LI-374,25000000
215,LI-375,25000000
215,LI-376,25000000
215,LI-377,25000000
215,LI-378,8832394
215,LI-379,318316
215,LJ-368,1267135
215,LJ-369,16668453
215,LJ-370,21756019
215,LJ-371,24277563
215,LJ-372,23748582
215,LJ-373,25000000
215,LJ-374,25000000
215,LJ-375,25000000
215,LJ-376,25000000
215,LJ-377,25000000
215,LJ-378,25000000
215,LJ-379,19756361
215,LJ-380,22597
215,LK-370,7135091
215,LK-371,8757599
215,LK-372,25000000
215,LK-373,25000000
215,LK-374,25000000
215,LK-375,25000000
215,LK-376,25000000
215,LK-377,25000000
215,LK-378,25000000
215,LK-379,15240381
215,LL-372,11978168
215,LL-373,24453045
215,LL-374,24999999
215,LL-375,25000000
215,LL-376,25000000
215,LL-377,24999999
215,LL-378,25000000
215,LL-379,24999999
215,LL-380,14592457
215,LM-370,888
215,LM-371,16080795
215,LM-372,16788154
215,LM-373,21885148
215,LM-374,25000000
215,LM-375,25000000
215,LM-376,25000000
215,LM-377,25000000
215,LM-378,25000000
